SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Drigg,,DR02,UMK-Unpasteurised Milk,22/01/2024,23-2562,NA,NA,<1.6,23±6.6,NA,NA,<0.026,NA,NA,NA,NA,NA,NA,<0.000044,<0.18,0.00013±0.000074,NA,<0.000044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,DR02,UMK-Unpasteurised Milk,22/01/2024,23-2563,NA,NA,NA,NA,NA,NA,NA,<0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,RV10,UMK-Unpasteurised Milk,18/01/2023,23-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±3.6,NA,NA,NA,NA,<0.04,NA,<0.05,<0.05,<0.07,<0.05,<0.33,<0.05,NA,<0.08,NA,<0.03,<0.06,<0.30,<0.12,<0.18,NA
Drigg,,RV10,UMK-Unpasteurised Milk,15/02/2023,23-365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62±4.9,NA,NA,NA,NA,<0.06,NA,<0.05,<0.06,<0.09,<0.06,<0.41,<0.06,NA,<0.12,NA,<0.04,0.09±0.05,<0.22,<0.16,<0.10,NA
Drigg,,RV10,UMK-Unpasteurised Milk,15/02/2023,23-770,NA,NA,<1.0,18±2.5,NA,NA,<0.024,NA,NA,NA,NA,NA,NA,<0.000046,<0.29,0.000038±0.000024,NA,<0.000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,RV10,UMK-Unpasteurised Milk,15/03/2023,23-482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.7,NA,NA,NA,NA,<0.02,NA,<0.03,<0.07,<0.05,<0.03,<0.21,<0.03,NA,<0.06,NA,<0.03,0.09±0.04,<0.19,<0.07,<0.11,NA
Drigg,,RV10,UMK-Unpasteurised Milk,01/04/2023,23-1268,NA,NA,NA,NA,NA,NA,NA,<0.0071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drigg,,RV10,UMK-Unpasteurised Milk,12/04/2023,23-638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.7,NA,NA,NA,NA,<0.02,NA,<0.04,<0.04,<0.10,<0.04,<0.22,<0.03,NA,<0.06,NA,<0.04,<0.02,<0.19,<0.07,<0.11,NA
Drigg,,RV10,UMK-Unpasteurised Milk,10/05/2023,23-884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.5,NA,NA,NA,NA,<0.04,NA,<0.06,<0.06,<0.08,<0.07,<0.34,<0.05,NA,<0.16,NA,<0.06,0.09±0.04,<0.31,<0.13,<0.19,NA
Drigg,,RV10,UMK-Unpasteurised Milk,14/05/2023,23-1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±4.5,NA,NA,NA,NA,<0.02,NA,<0.03,<0.05,<0.07,<0.03,<0.22,<0.03,NA,<0.06,NA,<0.02,0.07±0.04,<0.27,<0.07,<0.12,NA
